protocel_key,func_id,in_protocol,in_lua,lua_files
3,110,table_A,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,111,table_A,N,
3,112,table_A,N,
3,113,table_A,N,
3,116,table_A,N,
3,117,table_A,N,
3,118,table_A,N,
3,119,table_A,N,
3,121,table_A,N,
3,122,table_A,N,
3,123,table_A,N,
3,124,table_A,N,
3,125,table_A,N,
3,126,table_A,N,
3,127,table_A,N,
3,131,table_A,N,
3,132,table_A,N,
3,133,table_A,N,
3,134,table_A,N,
3,138,table_A,N,
3,139,table_A,N,
3,141,table_A,N,
3,142,table_A,N,
3,143,table_A,N,
3,144,table_A,N,
3,145,table_A,N,
3,146,table_A,N,
3,147,table_A,N,
3,148,table_A,N,
3,151,table_A,N,
3,161,table_A,N,
3,162,table_A,N,
3,166,table_A,N,
3,167,table_A,N,
3,168,table_A,N,
3,169,table_A,N,
3,170,table_A,N,
3,171,table_A,Y,gamesys.wudaotang.wudaotangcontroller.lua;gamesys.wudaotang.wudaotangcontroller.lua
3,172,table_A,Y,gamesys.wudaotang.wudaotangcontroller.lua;gamesys.wudaotang.wudaotangcontroller.lua
3,174,table_A,Y,gamesys.wudaotang.wudaotangcontroller.lua;gamesys.wudaotang.wudaotangcontroller.lua
3,175,table_A,Y,gamesys.wudaotang.wudaotangcontroller.lua;gamesys.wudaotang.wudaotangcontroller.lua
3,176,table_A,N,
3,177,table_A,Y,gamesys.wudaotang.wudaotangcontroller.lua;gamesys.wudaotang.wudaotangcontroller.lua
3,181,table_A,N,
3,182,table_A,N,
3,187,table_A,N,
3,188,table_A,N,
3,191,table_A,N,
3,192,table_A,N,
3,193,table_A,N,
3,194,table_A,N,
3,195,table_A,N,
3,196,table_A,N,
3,197,table_A,N,
3,201,table_A,N,
3,202,table_A,N,
3,203,table_A,N,
3,211,table_A,N,
3,212,table_A,N,
3,213,table_A,N,
3,214,table_A,N,
3,215,table_A,N,
3,216,table_A,N,
3,217,table_A,N,
3,218,table_A,N,
3,220,table_A,N,
3,224,table_A,N,
3,225,table_A,N,
3,226,table_A,N,
3,227,table_A,N,
3,230,table_A,N,
3,231,table_A,N,
3,232,table_A,N,
3,233,table_A,N,
3,234,table_A,N,
3,236,table_A,N,
3,237,table_A,N,
3,241,table_A,N,
3,247,table_A,Y,gamesys.guildorder.guildordercontroller.lua;gamesys.guildorder.guildordercontroller.lua
3,248,table_A,Y,gamesys.guildorder.guildordercontroller.lua;gamesys.guildorder.guildordercontroller.lua
3,250,table_A,N,
3,251,table_A,N,
3,253,table_A,N,
3,254,table_A,N,
3,1,table_B,N,
3,2,table_B,N,
3,3,table_B,N,
3,4,table_B,N,
3,5,table_B,N,
3,6,table_B,N,
3,8,table_B,N,
3,9,table_B,N,
3,10,table_B,N,
3,12,table_B,N,
3,13,table_B,N,
3,15,table_B,N,
3,16,table_B,N,
3,17,table_B,N,
3,18,table_B,N,
3,19,table_B,N,
3,21,table_B,N,
3,22,table_B,N,
3,23,table_B,N,
3,24,table_B,N,
3,31,table_B,N,
3,32,table_B,N,
3,33,table_B,N,
3,34,table_B,N,
3,35,table_B,N,
3,36,table_B,N,
3,37,table_B,N,
3,38,table_B,N,
3,39,table_B,N,
3,40,table_B,N,
3,41,table_B,N,
3,42,table_B,N,
3,43,table_B,N,
3,44,table_B,N,
3,45,table_B,N,
3,46,table_B,N,
3,47,table_B,N,
3,48,table_B,N,
3,49,table_B,N,
3,50,table_B,N,
3,51,table_B,N,
3,52,table_B,N,
3,53,table_B,N,
3,54,table_B,N,
3,55,table_B,N,
3,56,table_B,N,
3,57,table_B,N,
3,58,table_B,N,
3,59,table_B,N,
3,60,table_B,N,
3,61,table_B,N,
3,62,table_B,N,
3,63,table_B,N,
3,64,table_B,N,
3,65,table_B,N,
3,66,table_B,N,
3,67,table_B,N,
3,68,table_B,N,
3,69,table_B,N,
3,70,table_B,N,
3,71,table_B,N,
3,72,table_B,N,
3,75,table_B,N,
3,76,table_B,N,
3,77,table_B,N,
3,78,table_B,N,
3,79,table_B,N,
3,80,table_B,N,
3,81,table_B,N,
3,82,table_B,N,
3,84,table_B,N,
3,85,table_B,N,
3,86,table_B,N,
3,88,table_B,N,
3,99,table_B,N,
3,100,table_B,N,
3,101,table_B,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,102,table_B,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,103,table_B,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,104,table_B,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,105,table_B,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,106,table_B,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,107,table_B,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
3,108,table_B,Y,gui.windows.gongfa.uigongfacontroller.lua;gui.windows.gongfa.uigongfacontroller.lua
